js_title,last_,max_,_min,_stdev
J7274,0.0,0.3555,-0.241,0.0
J7013,-0.0057,0.3555,-0.241,0.015853
J9006,-0.0685,0.3555,-0.241,0.016062
J9041,0.0069,0.3555,-0.241,0.015441
J9699,0.058,0.3555,-0.241,0.007476
J6856,0.1568,0.3555,-0.241,0.009976
J5301,0.1821,0.3555,-0.241,0.022453
J6305,0.1113,0.3555,-0.241,0.008068
J6504,0.1265,0.3555,-0.241,0.009486
J6641,0.2053,0.3555,-0.241,0.017798
J2730,-0.0078,0.3555,-0.241,0.002925
J4928,-0.0011,0.3555,-0.241,0.003452
J8051,-0.0369,0.3555,-0.241,0.005811
J4004,0.1041,0.3555,-0.241,0.005655
J7105,0.0319,0.3555,-0.241,0.010862
J2681,-0.0146,0.3555,-0.241,0.005752
J7205,0.0416,0.3555,-0.241,0.014087
J9104,-0.1121,0.3555,-0.241,0.024451
J6301,0.0602,0.3555,-0.241,0.020712
J5851,-0.0394,0.3555,-0.241,0.018972
J5201,0.004,0.3555,-0.241,0.009686
J4681,0.015,0.3555,-0.241,0.00875
J9766,0.1617,0.3555,-0.241,0.006272
J7729,0.058,0.3555,-0.241,0.009133
J4151,0.1083,0.3555,-0.241,0.034422
J3436,0.1048,0.3555,-0.241,0.017547
J6498,-0.0505,0.3555,-0.241,0.006231
J6417,0.0589,0.3555,-0.241,0.008207
J9983,0.0505,0.3555,-0.241,0.009438
J9201,-0.0384,0.3555,-0.241,0.012595
J6724,0.1594,0.3555,-0.241,0.038524
J4028,0.2089,0.3555,-0.241,0.017097
J6103,0.1321,0.3555,-0.241,0.012344
J7246,0.0159,0.3555,-0.241,0.01064
J7287,0.0888,0.3555,-0.241,0.006165
J3099,0.0601,0.3555,-0.241,0.01082
J5970,-0.0482,0.3555,-0.241,0.005937
J7751,0.2177,0.3555,-0.241,0.042892
J7296,-0.055,0.3555,-0.241,0.010155
J6923,0.0121,0.3555,-0.241,0.016447
J2497,0.0068,0.3555,-0.241,0.008909
J6101,0.1493,0.3555,-0.241,0.023445
J9706,-0.092,0.3555,-0.241,0.02195
J7732,0.053,0.3555,-0.241,0.02282
J6481,0.0937,0.3555,-0.241,0.010453
J7717,0.1464,0.3555,-0.241,0.021265
J6135,0.1423,0.3555,-0.241,0.024156
J4902,0.1615,0.3555,-0.241,0.017094
J7148,0.008,0.3555,-0.241,0.005462
J7731,0.3246,0.3555,-0.241,0.037558
J8354,0.0209,0.3555,-0.241,0.005665
